Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Valid Loss,Valid Accuracy,Valid Precision,Valid Recall,Valid F1
23,0.20269314502286423,0.9266339171294319,0.9101075699938559,0.9068178175584032,0.9083816440897892,0.1071178492377786,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
24,0.19732224656453312,0.9309055958991884,0.9155800456348796,0.9100994677125789,0.9127653577057357,0.10725503809311811,0.9561068702290076,0.9373015873015873,0.9371712899673426,0.9360515502654481
25,0.1922381404316873,0.9318667236223835,0.9145422874916669,0.9114634553853894,0.9129701362257943,0.10725369874168844,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
26,0.19895817883592418,0.9253524134985049,0.9092099375464623,0.9044701275162881,0.9067616697159139,0.1071313689736759,0.9580152671755725,0.9400709755360919,0.9401474804435331,0.9390861625823114
27,0.17995997093643346,0.9358180264844084,0.9211765013904496,0.9160764358115161,0.9185633944118321,0.11014636825112735,0.9580152671755725,0.9400709755360919,0.9401474804435331,0.9390861625823114
28,0.19823138136098817,0.9282357966680905,0.909597243100527,0.9074733383007452,0.9085122011515614,0.10681737871731029,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
29,0.19556009077781702,0.9284493806065783,0.9118814433173542,0.9066042501039135,0.9091760888660414,0.10543588329763974,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.941Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Valid Loss,Valid Accuracy,Valid Precision,Valid Recall,Valid F1
0,1.3834490987627985,0.5242417770183683,0.5918989172201621,0.3994901121657739,0.43832131848019906,0.42064806994269877,0.8797709923664122,0.8495101013192486,0.8363762621220876,0.8408332846145391
1,0.5124974690199712,0.8291328492097394,0.7986238701773601,0.7809086956141742,0.7890231434265812,0.20427675808177276,0.9370229007633588,0.9184240328731677,0.9129442035486444,0.9136955977756718
2,0.3891003449215417,0.8622383596753525,0.8341248998804833,0.8219959235416161,0.8275673332123162,0.16173697920406566,0.950381679389313,0.9347875370243791,0.9323725091611605,0.9308642777551215
3,0.3493499495470483,0.8741990602306706,0.8486516327931136,0.8403256094287158,0.844218985742659,0.17261708483976476,0.9389312977099237,0.9193646362625165,0.9201363165454749,0.9170759521536898
4,0.3219767495633799,0.8840239214011106,0.8577403141838909,0.8497967566120268,0.8536342451625625,0.13774671274072983,0.9484732824427481,0.930972559623815,0.9291988343456572,0.9295589179151693
5,0.295207782003253,0.8939555745407946,0.8704664137619273,0.8644080787509212,0.8671984011087479,0.14801772902993596,0.9408396946564885,0.9197364740954319,0.9145136839697173,0.9121744148067646
6,0.2834707787419342,0.8953438701409654,0.8716955104804754,0.865494446587328,0.868342763358404,0.13742720379548914,0.9446564885496184,0.925129529821636,0.9210860069207109,0.921722653496573
7,0.2684017350649264,0.9036736437419906,0.8828853209569987,0.8780430306455682,0.8803878660002382,0.13690826472114115,0.9427480916030534,0.924537324356893,0.9183349380993597,0.9185127331145151
8,0.2572802130272771,0.9091200341734301,0.8887029051401798,0.8822823185502133,0.8852830304688333,0.13128945406745463,0.9446564885496184,0.9239442548220094,0.920901576048399,0.9209113780986229
9,0.2509439097329618,0.9102947458351132,0.8897161807935002,0.8859943487219879,0.887798378409165,0.13577629538143382,0.9427480916030534,0.9233284710645392,0.9158937914353511,0.9159256866227595
10,0.24043950936900063,0.912964545066211,0.8930096040746733,0.8871430144309099,0.8899343701799716,0.12665829939000747,0.9427480916030534,0.9236906738619068,0.9174963034954811,0.9175154499964067
11,0.24698076476009226,0.9105083297736011,0.8918800677560292,0.8859012575122536,0.8888180580959386,0.10891289570752312,0.9637404580152672,0.9484848484848485,0.9495579918071695,0.9489174813745689
12,0.22705830648897452,0.919051687313114,0.9003249901934767,0.8957448510810082,0.8979070697863739,0.11308474400464226,0.9522900763358778,0.9341140367456158,0.9305338480161971,0.9320881595055056
13,0.23469181516471577,0.9134985049124306,0.8924318601957135,0.8874949855690666,0.8898849226402545,0.12100369790021111,0.9522900763358778,0.9400142995591365,0.9320741571222957,0.9333169195418729
14,0.22260758331611294,0.921507902605724,0.9032831833587506,0.8972257408716595,0.9001205568969449,0.11310033938463997,0.9580152671755725,0.9404143154143154,0.9386368383078909,0.9389556038041802
15,0.22467048827291755,0.9218282785134558,0.9053607314513984,0.9012238934559214,0.9032075919555886,0.11700885436114143,0.9561068702290076,0.9387514518002322,0.9339292834358623,0.9356517216134256
16,0.21393043596183073,0.9234301580521145,0.9050358025135908,0.9019316392631767,0.9034292162086639,0.11926655208363253,0.9580152671755725,0.9426733254994124,0.939728582820688,0.9402286750963686
17,0.2200695988261252,0.9191584792823579,0.9023891287360413,0.8955227607083108,0.8988431764145505,0.1042173469767851,0.9618320610687023,0.9451379790370128,0.9452454526467684,0.9450626013607758
18,0.2126876778976909,0.9250320375907731,0.9069419393880682,0.9022269293820175,0.9044859081695971,0.10688443043652703,0.9618320610687023,0.944670542635659,0.9458292986253514,0.944795981772991
19,0.21721000801581164,0.9191584792823579,0.9016973326411746,0.8972542771602846,0.8993994507871526,0.11129468328812543,0.9618320610687023,0.9458101349869643,0.9480432939795905,0.9465338492833594
20,0.20710533063973177,0.9244980777445536,0.9060582254312458,0.9013592355845892,0.9036152020048738,0.108535836724674,0.9580152671755725,0.9415596999899325,0.9410352645344422,0.9405794459532002
21,0.1980350351170875,0.9270610850064075,0.9090831316333994,0.906097695681291,0.9075544138335276,0.10976056491627413,0.9580152671755725,0.9403941988244314,0.942226194412491,0.9405923818864266
22,0.19540288098436168,0.9300512601452371,0.9142660375001765,0.9091066043658405,0.9116209959583611,0.11613978357876048,0.9484732824427481,0.9295664701152506,0.9273025215940813,0.9260420262044291
23,0.20269314502286423,0.9266339171294319,0.9101075699938559,0.9068178175584032,0.9083816440897892,0.1071178492377786,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
24,0.19732224656453312,0.9309055958991884,0.9155800456348796,0.9100994677125789,0.9127653577057357,0.10725503809311811,0.9561068702290076,0.9373015873015873,0.9371712899673426,0.9360515502654481
25,0.1922381404316873,0.9318667236223835,0.9145422874916669,0.9114634553853894,0.9129701362257943,0.10725369874168844,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
26,0.19895817883592418,0.9253524134985049,0.9092099375464623,0.9044701275162881,0.9067616697159139,0.1071313689736759,0.9580152671755725,0.9400709755360919,0.9401474804435331,0.9390861625823114
27,0.17995997093643346,0.9358180264844084,0.9211765013904496,0.9160764358115161,0.9185633944118321,0.11014636825112735,0.9580152671755725,0.9400709755360919,0.9401474804435331,0.9390861625823114
28,0.19823138136098817,0.9282357966680905,0.909597243100527,0.9074733383007452,0.9085122011515614,0.10681737871731029,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
29,0.19556009077781702,0.9284493806065783,0.9118814433173542,0.9066042501039135,0.9091760888660414,0.10543588329763974,0.9599236641221374,0.9423172757475083,0.9429883895344422,0.9419436371314305
